time,psi
13.82,0.923
13.86,0.923
13.89,0.923
13.92,0.923
13.95,0.923
13.98,0.923
14.02,0.923
14.05,0.923
14.08,0.923
14.11,0.923
14.14,0.923
14.18,0.923
14.21,0.923
14.24,0.923
14.27,0.923
14.3,0.923
14.34,0.923
14.37,0.923
14.4,0.923
14.43,0.923
14.46,0.923
14.5,0.923
14.53,0.923
14.56,0.923
14.59,0.923
14.62,0.923
14.66,0.923
14.69,0.923
14.72,0.923
14.75,0.923
14.78,0.923
14.82,0.923
14.85,0.923
14.88,0.923
14.91,0.923
14.94,0.923
14.98,0.923
15.01,0.923
15.04,0.923
15.07,0.923
15.1,0.923
15.14,0.923
15.17,0.923
15.2,0.923
15.23,0.923
15.26,0.923
15.3,0.923
15.33,0.923
15.36,0.923
15.39,0.923
15.42,0.923
15.46,0.923
15.49,0.923
15.52,0.923
15.55,0.923
15.58,0.923
15.62,0.923
15.65,0.923
15.68,0.923
15.71,0.923
15.74,0.923
15.78,0.923
15.81,0.923
15.84,0.923
15.87,0.923
15.9,0.923
15.94,0.923
15.97,0.923
16.0,0.923
16.03,0.923
16.06,0.923
16.1,0.923
16.13,0.923
16.16,0.923
16.19,0.923
16.22,0.923
16.26,0.923
16.29,0.923
16.32,0.923
16.35,0.923
16.38,0.923
16.42,0.923
16.45,0.923
16.48,0.923
16.51,0.923
16.54,0.923
16.58,0.923
16.61,0.923
16.64,0.923
16.67,0.923
16.7,0.923
16.74,0.923
16.77,0.923
16.8,0.923
16.83,0.923
16.86,0.923
16.9,0.923
16.93,0.923
16.96,0.923
16.99,0.923
17.02,0.923
17.06,0.923
17.09,0.923
17.12,0.923
17.15,0.923
17.18,0.923
17.22,0.923
17.25,0.923
17.28,0.923
17.31,0.923
17.34,0.923
17.38,0.923
17.41,0.923
17.44,0.923
17.47,0.923
17.5,0.923
17.54,0.923
17.57,0.923
17.6,0.923
17.63,0.923
17.66,0.923
17.7,0.923
17.73,0.923
17.76,0.923
17.79,0.923
17.82,0.923
17.86,0.923
17.89,0.923
17.92,0.923
17.95,0.923
17.98,0.923
18.02,0.923
18.05,0.923
